Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,Predict,196348,27541,340.0,305.3277519484002,2.3271404206752777,1827.945489436388,0.0,1118.852277541074,156.93722663718867,340,370,380,390,470,590,650,780,1700,1800,1800
,Aggregated,196348,27541,340.0,305.3277519484002,2.3271404206752777,1827.945489436388,0.0,1118.852277541074,156.93722663718867,340,370,380,390,470,590,650,780,1700,1800,1800
